domain,attack_family,setting,n,m,stream_id,detected,raw_time_to_detection_s,time_to_decision_s,added_detection_latency_s,within_2s
simulated,dos,1-of-1,1,1,ptp_dos_flood:0,True,0.19999999999999996,0.19999999999999996,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:1,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:10,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:11,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:2,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:3,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:4,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:5,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:6,True,1.8000000000000003,1.8000000000000003,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:7,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:8,True,0.0,0.0,0.0,True
simulated,dos,1-of-1,1,1,ptp_dos_flood:9,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:0,True,0.20000000000000018,0.20000000000000018,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:1,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:10,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:11,True,0.19999999999999996,0.19999999999999996,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:2,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:3,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:4,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:5,True,1.0,1.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:6,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:7,True,0.19999999999999973,0.19999999999999973,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:8,True,0.0,0.0,0.0,True
simulated,replay,1-of-1,1,1,ptp_replay:9,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:0,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:1,True,2.8,2.8,0.0,False
simulated,spoof,1-of-1,1,1,ptp_spoof:10,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:11,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:2,True,0.19999999999999996,0.19999999999999996,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:3,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:4,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:5,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:6,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:7,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:8,True,0.0,0.0,0.0,True
simulated,spoof,1-of-1,1,1,ptp_spoof:9,True,0.3999999999999999,0.3999999999999999,0.0,True
timesafe_real,announce,1-of-1,1,1,announce_session_1,True,0.0,0.0,0.0,True
timesafe_real,announce,1-of-1,1,1,announce_session_2,True,0.0,0.0,0.0,True
timesafe_real,announce,1-of-1,1,1,announce_session_3,True,0.0,0.0,0.0,True
timesafe_real,sync_follow_up,1-of-1,1,1,sync_followup_session,True,0.0,0.0,0.0,True
timesafe_real,sync_single_step,1-of-1,1,1,sync_singlestep_session,True,0.0,0.0,0.0,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:0,True,0.19999999999999996,0.40000000000000013,0.20000000000000018,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:1,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:10,True,0.0,0.19999999999999996,0.19999999999999996,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:11,True,0.0,0.19999999999999973,0.19999999999999973,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:2,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:3,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:4,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:5,True,0.0,0.19999999999999996,0.19999999999999996,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:6,True,1.8000000000000003,2.0,0.19999999999999973,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:7,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:8,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,dos,2-of-3,2,3,ptp_dos_flood:9,True,0.0,0.19999999999999996,0.19999999999999996,True
simulated,replay,2-of-3,2,3,ptp_replay:0,True,0.20000000000000018,0.3999999999999999,0.19999999999999973,True
simulated,replay,2-of-3,2,3,ptp_replay:1,True,0.0,0.7999999999999998,0.7999999999999998,True
simulated,replay,2-of-3,2,3,ptp_replay:10,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,replay,2-of-3,2,3,ptp_replay:11,True,0.19999999999999996,0.5999999999999999,0.3999999999999999,True
simulated,replay,2-of-3,2,3,ptp_replay:2,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,replay,2-of-3,2,3,ptp_replay:3,True,0.0,1.6,1.6,True
simulated,replay,2-of-3,2,3,ptp_replay:4,True,0.0,0.19999999999999973,0.19999999999999973,True
simulated,replay,2-of-3,2,3,ptp_replay:5,True,1.0,1.1999999999999997,0.19999999999999973,True
simulated,replay,2-of-3,2,3,ptp_replay:6,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,replay,2-of-3,2,3,ptp_replay:7,True,0.19999999999999973,0.3999999999999999,0.20000000000000018,True
simulated,replay,2-of-3,2,3,ptp_replay:8,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,replay,2-of-3,2,3,ptp_replay:9,True,0.0,0.19999999999999996,0.19999999999999996,True
simulated,spoof,2-of-3,2,3,ptp_spoof:0,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,spoof,2-of-3,2,3,ptp_spoof:1,False,2.8,,,False
simulated,spoof,2-of-3,2,3,ptp_spoof:10,True,0.0,0.19999999999999973,0.19999999999999973,True
simulated,spoof,2-of-3,2,3,ptp_spoof:11,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,spoof,2-of-3,2,3,ptp_spoof:2,True,0.19999999999999996,0.40000000000000013,0.20000000000000018,True
simulated,spoof,2-of-3,2,3,ptp_spoof:3,True,0.0,0.19999999999999973,0.19999999999999973,True
simulated,spoof,2-of-3,2,3,ptp_spoof:4,True,0.0,0.20000000000000018,0.20000000000000018,True
simulated,spoof,2-of-3,2,3,ptp_spoof:5,True,0.0,0.19999999999999996,0.19999999999999996,True
simulated,spoof,2-of-3,2,3,ptp_spoof:6,True,0.0,0.19999999999999996,0.19999999999999996,True
simulated,spoof,2-of-3,2,3,ptp_spoof:7,True,0.0,0.19999999999999973,0.19999999999999973,True
simulated,spoof,2-of-3,2,3,ptp_spoof:8,True,0.0,0.19999999999999996,0.19999999999999996,True
simulated,spoof,2-of-3,2,3,ptp_spoof:9,True,0.3999999999999999,0.6000000000000001,0.20000000000000018,True
timesafe_real,announce,2-of-3,2,3,announce_session_1,True,0.0,0.2,0.2,True
timesafe_real,announce,2-of-3,2,3,announce_session_2,True,0.0,0.2,0.2,True
timesafe_real,announce,2-of-3,2,3,announce_session_3,True,0.0,0.20000000000000107,0.20000000000000107,True
timesafe_real,sync_follow_up,2-of-3,2,3,sync_followup_session,True,0.0,0.20000000000000107,0.20000000000000107,True
timesafe_real,sync_single_step,2-of-3,2,3,sync_singlestep_session,True,0.0,0.20000000000000107,0.20000000000000107,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:0,True,0.19999999999999996,0.5999999999999999,0.3999999999999999,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:1,True,0.0,0.40000000000000013,0.40000000000000013,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:10,True,0.0,0.40000000000000013,0.40000000000000013,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:11,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:2,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:3,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:4,True,0.0,0.40000000000000013,0.40000000000000013,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:5,True,0.0,0.40000000000000013,0.40000000000000013,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:6,False,1.8000000000000003,,,False
simulated,dos,3-of-5,3,5,ptp_dos_flood:7,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:8,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,dos,3-of-5,3,5,ptp_dos_flood:9,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,replay,3-of-5,3,5,ptp_replay:0,True,0.20000000000000018,0.6000000000000001,0.3999999999999999,True
simulated,replay,3-of-5,3,5,ptp_replay:1,True,0.0,0.7999999999999998,0.7999999999999998,True
simulated,replay,3-of-5,3,5,ptp_replay:10,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,replay,3-of-5,3,5,ptp_replay:11,True,0.19999999999999996,0.8,0.6000000000000001,True
simulated,replay,3-of-5,3,5,ptp_replay:2,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,replay,3-of-5,3,5,ptp_replay:3,True,0.0,1.6,1.6,True
simulated,replay,3-of-5,3,5,ptp_replay:4,True,0.0,0.3999999999999999,0.3999999999999999,True
