t_s,scenario,offset_ns,measured_offset_ns,path_delay_ns,offset_valid,path_delay_valid,telemetry_valid,stale_s,pdv_ns,freq_error_ppb,oscillator_holdover_nominal_ppb,oscillator_holdover_tolerance_ppb,oscillator_disciplined_tolerance_ppb,gnss_reference_ns,ptp_reference_ns,peer_reference_ns,source_agreement_tolerance_ns,synce_ql,ptp_seq_id,ptp_msg_type,msg_rate_hz,grandmaster_identity,grandmaster_priority1,grandmaster_clock_class,grandmaster_clock_accuracy,offset_scaled_log_variance,grandmaster_priority2,steps_removed,time_source,gnss_sync_status,satellites_tracked,gnss_available,holdover,attack_flag,fault_flag,run_id,label
0.124347192,netem_baseline,-4209.0,-4209.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,0,Sync,3.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.124686802,netem_baseline,-4209.0,-4209.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,0,Follow_Up,3.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.249733957,netem_baseline,-4710.0,-4710.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,1,Sync,5.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.250116256,netem_baseline,-4710.0,-4710.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,1,Follow_Up,5.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.375581586,netem_baseline,-7515.0,-7515.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,2,Sync,7.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.375983526,netem_baseline,-7515.0,-7515.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,2,Follow_Up,7.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.500399684,netem_baseline,-4007.0,-4007.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,3,Sync,9.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.500732894,netem_baseline,-4007.0,-4007.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,3,Follow_Up,9.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.62555211,netem_baseline,-8916.0,-8916.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,4,Sync,11.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.626010048,netem_baseline,-8916.0,-8916.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,4,Follow_Up,11.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.750546446,netem_baseline,-4408.0,-4408.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,5,Sync,13.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.750851204,netem_baseline,-4408.0,-4408.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,5,Follow_Up,13.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.875636658,netem_baseline,-4608.0,-4608.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,6,Sync,15.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
0.875916269,netem_baseline,-4608.0,-4608.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,6,Follow_Up,15.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.000648526,netem_baseline,-3807.0,-3807.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,7,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.000950078,netem_baseline,-3807.0,-3807.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,7,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.125853548,netem_baseline,-5009.0,-5009.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,8,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.126409766,netem_baseline,-5009.0,-5009.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,8,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.251078907,netem_baseline,-4508.0,-4508.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,9,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.251364229,netem_baseline,-4508.0,-4508.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,9,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.376134756,netem_baseline,-4708.0,-4708.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,10,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.376480188,netem_baseline,-4708.0,-4708.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,10,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.501750208,netem_baseline,-12820.0,-12820.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,11,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.502306599,netem_baseline,-12820.0,-12820.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,11,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.626778652,netem_baseline,-4207.0,-4207.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,12,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.62710778,netem_baseline,-4207.0,-4207.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,12,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.752188909,netem_baseline,-6610.0,-6610.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,13,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.752561605,netem_baseline,-6610.0,-6610.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,13,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.877394036,netem_baseline,-4407.0,-4407.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,14,Sync,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
1.877718055,netem_baseline,-4407.0,-4407.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,14,Follow_Up,16.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.000564205,netem_baseline,-4407.0,-4407.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,1,Announce,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.002670979,netem_baseline,-9014.0,-9014.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,15,Sync,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.003226168,netem_baseline,-9014.0,-9014.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,15,Follow_Up,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.128098963,netem_baseline,-5109.0,-5109.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,16,Sync,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.128748904,netem_baseline,-5109.0,-5109.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,16,Follow_Up,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.253547581,netem_baseline,-13421.0,-13421.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,17,Sync,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.254409762,netem_baseline,-13421.0,-13421.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,17,Follow_Up,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
2.378425084,netem_baseline,-4407.0,-4407.0,0.0,True,True,True,0.0,3006.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,1,18,Sync,17.0,c29a38fffeb34e68,128,248,254,65535,128,0,160,BOOTING,-1,False,True,False,False,0,healthy
